filename,language,total_chunks,climate_chunks,kept_percentage,spec_specific,spec_non_specific,spec_avg_score,sent_opportunity,sent_neutral,sent_risk,sent_avg_score,commit_yes,commit_no,commit_avg_score,spec_specific_pct,sent_opportunity_pct,commit_yes_pct
005_2013_annual_report,en,204,57,27.941176470588236,37,20,0.7195170364881817,26,21,10,0.7349679375949659,32,25,0.9012735235063654,64.9,45.6,56.1
012_2024_annual_report,de,95,40,42.10526315789473,16,24,0.7725375965237617,13,17,10,0.8342226818203926,26,14,0.9266711577773095,40.0,32.5,65.0
014_2020_sustainability_report,en,262,149,56.87022900763359,62,87,0.7144414690516939,84,52,13,0.8335751791128376,104,45,0.9240896597804639,41.6,56.4,69.8
001_2016_annual_review,en,171,123,71.9298245614035,80,43,0.7321636686480142,71,45,7,0.8515552994681568,106,17,0.9517222327914664,65.0,57.7,86.2
008_2018_corporate_responsibility_report,de,82,47,57.3170731707317,12,35,0.7373340979535529,16,28,3,0.7952174981857868,25,22,0.9195919683639039,25.5,34.0,53.2
008_2021_corporate_responsibility_report,de,109,65,59.63302752293578,16,49,0.7599839714857248,25,36,4,0.8080266292278583,34,31,0.9190816457454974,24.6,38.5,52.3
001_2023_factbook,en,74,44,59.45945945945946,39,5,0.821772886948152,19,23,2,0.8147816082293337,29,15,0.8957025828686628,88.6,43.2,65.9
001_2021_factbook,en,80,39,48.75,37,2,0.8138266939383286,13,26,0,0.7975334104819175,24,15,0.8951468559411856,94.9,33.3,61.5
003_2017_annual_report,en,262,85,32.44274809160305,57,28,0.7374920389231514,21,37,27,0.8292531616547528,50,35,0.922547350210302,67.1,24.7,58.8
013_2022_sustainability_report,en,83,58,69.87951807228916,19,39,0.7475045600841785,21,32,5,0.8138746804204481,40,18,0.9259929163702603,32.8,36.2,69.0
004_2021_annual_report,en,258,53,20.54263565891473,30,23,0.7588614663987789,18,11,24,0.8300979609759349,20,33,0.9018053243745048,56.6,34.0,37.7
012_2016_annual_report,de,85,26,30.58823529411765,14,12,0.7485962831057035,12,10,4,0.8134026183531835,13,13,0.9046721710608556,53.8,46.2,50.0
002_2020_integrated_annual_report,en,379,86,22.691292875989447,57,29,0.7423312580862711,34,42,10,0.7972106372201165,54,32,0.9062617261742436,66.3,39.5,62.8
008_2022_corporate_responsibility_report,de,129,69,53.48837209302325,18,51,0.7651085032933,20,45,4,0.8350466938986294,39,30,0.9464625137439673,26.1,29.0,56.5
005_2024_annual_report,en,304,170,55.92105263157895,99,71,0.7684158588156981,42,100,28,0.835598640406833,105,65,0.9229727355872883,58.2,24.7,61.8
012_2022_annual_report,de,86,38,44.18604651162791,18,20,0.7462658960568277,16,16,6,0.8382410422751778,24,14,0.8946046891965365,47.4,42.1,63.2
001_2013_annual_review,en,296,125,42.22972972972973,99,26,0.7887524900436401,53,48,24,0.8132009160518646,75,50,0.9420071978569031,79.2,42.4,60.0
003_2021_annual_report,en,347,168,48.414985590778095,106,62,0.7505045171294894,37,83,48,0.8296206930563563,101,67,0.9289040352616992,63.1,22.0,60.1
014_2018_sustainability_report,en,110,81,73.63636363636363,32,49,0.7031450727839529,28,48,5,0.8101721339755588,49,32,0.9067762869375723,39.5,34.6,60.5
001_2021_climate_action_report,en,102,102,100.0,74,28,0.7569115383952272,65,30,7,0.8564699362306034,87,15,0.9711694892715005,72.5,63.7,85.3
002_2015_annual_report,en,190,36,18.947368421052634,30,6,0.7669371002250247,13,19,4,0.7888194157017602,22,14,0.9000731110572815,83.3,36.1,61.1
001_2024_sustainability_report,en,161,125,77.63975155279503,91,34,0.7573749890327454,34,81,10,0.8529762043952942,83,42,0.9034117274284362,72.8,27.2,66.4
012_2022_sustainability_report,en,63,47,74.60317460317461,25,22,0.6880494571746664,24,21,2,0.822076347280056,40,7,0.8985413198775434,53.2,51.1,85.1
006_2021_sustainability_report,en,95,78,82.10526315789474,53,25,0.7273019017317356,35,42,1,0.8442636426442709,65,13,0.9382334305689886,67.9,44.9,83.3
012_2025_sustainability_report,en,73,58,79.45205479452055,27,31,0.7092444670611414,27,27,4,0.8209654570653521,46,12,0.8706106358561022,46.6,46.6,79.3
