company,company_id,year,total_chunks,climate_chunks,climate_pct,netzero_chunks,netzero_pct,netzero_of_climate_pct
SSAB,005,2018,275,112,40.72727272727273,14,12.5,12.5
SSAB,005,2019,324,126,38.88888888888889,14,11.11111111111111,11.11111111111111
SSAB,005,2020,326,138,42.331288343558285,23,16.666666666666664,16.666666666666664
SSAB,005,2021,262,99,37.786259541984734,8,8.080808080808081,8.080808080808081
SSAB,005,2022,225,87,38.666666666666664,15,17.24137931034483,17.24137931034483
SSAB,005,2023,217,90,41.474654377880185,19,21.11111111111111,21.11111111111111
SSAB,005,2024,233,128,54.93562231759657,22,17.1875,17.1875
TataSteelNederland,006,2021,71,55,77.46478873239437,13,23.636363636363637,23.636363636363637
TataSteelNederland,006,2022,95,80,84.21052631578947,12,15.0,15.0
TataSteelNederland,006,2023,243,158,65.02057613168725,20,12.658227848101266,12.658227848101266
TataSteelNederland,006,2024,205,131,63.90243902439025,7,5.343511450381679,5.343511450381679
Celsa,007,2020,117,78,66.66666666666666,9,11.538461538461538,11.538461538461538
Celsa,007,2021,56,43,76.78571428571429,3,6.976744186046512,6.976744186046512
Celsa,007,2022,45,36,80.0,3,8.333333333333332,8.333333333333332
Celsa,007,2023,103,72,69.90291262135922,21,29.166666666666668,29.166666666666668
Celsa,007,2024,99,86,86.86868686868688,43,50.0,50.0
Voestalpine,008,2013,44,23,52.27272727272727,4,17.391304347826086,17.391304347826086
Voestalpine,008,2015,45,25,55.55555555555556,2,8.0,8.0
Voestalpine,008,2018,39,22,56.41025641025641,2,9.090909090909092,9.090909090909092
Voestalpine,008,2019,39,15,38.46153846153847,3,20.0,20.0
Voestalpine,008,2020,47,18,38.297872340425535,4,22.22222222222222,22.22222222222222
Voestalpine,008,2021,56,29,51.78571428571429,2,6.896551724137931,6.896551724137931
Voestalpine,008,2022,65,29,44.61538461538462,2,6.896551724137931,6.896551724137931
Voestalpine,008,2023,74,34,45.94594594594595,3,8.823529411764707,8.823529411764707
Voestalpine,008,2024,81,36,44.44444444444444,3,8.333333333333332,8.333333333333332
AcciaieriedItalia,009,2021,157,113,71.97452229299363,9,7.964601769911504,7.964601769911504
AcciaieriedItalia,009,2022,161,119,73.91304347826086,17,14.285714285714285,14.285714285714285
TataSteelUK,010,2021,31,26,83.87096774193549,0,0.0,0.0
TataSteelUK,010,2022,137,79,57.66423357664233,10,12.658227848101266,12.658227848101266
TataSteelUK,010,2023,105,59,56.19047619047619,5,8.47457627118644,8.47457627118644
TataSteelUK,010,2024,80,46,57.49999999999999,4,8.695652173913043,8.695652173913043
Dillinger,012,2015,26,5,19.230769230769234,0,0.0,0.0
Dillinger,012,2016,43,11,25.581395348837212,0,0.0,0.0
Dillinger,012,2017,38,12,31.57894736842105,0,0.0,0.0
Dillinger,012,2019,123,65,54.02542372881356,2,2.0408163265306123,3.076923076923077
Dillinger,012,2020,61,23,37.704918032786885,0,0.0,0.0
Dillinger,012,2021,28,10,35.714285714285715,0,0.0,0.0
Dillinger,012,2022,122,66,52.60458839406208,1,1.0204081632653061,1.5151515151515151
Dillinger,012,2023,43,12,27.906976744186046,2,16.666666666666664,16.666666666666664
